SampleID;Genotype;Group;treatment;SliceID;mfPerimeter;mfArea;complexity;mean complexity;BoutonID;Animal
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_002_s1;12.512;3.753;3.33386624034106;3.22833590131857;20190924_1_002;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_002_s2;12.568;3.713;3.38486399138163;;20190924_1_002;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_002_s3;9.845;3.183;3.09299403078856;;20190924_1_002;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_002_s4;7.535;2.518;2.99245432883241;;20190924_1_002;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_002_s5;7.98;2.689;2.96764596504277;;20190924_1_002;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_002_s6;8.059;2.357;3.41917691981332;;20190924_1_002;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_002_s7;8.624;2.448;3.52287581699346;;20190924_1_002;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_002_s8;7.533;2.42;3.11280991735537;;20190924_1_002;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_003_s1;8.5;3.607;2.35652897144441;2.42389551040376;20190924_1_003;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_003_s2;8.661;3.509;2.46822456540325;;20190924_1_003;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_003_s3;8.636;3.523;2.45131989781436;;20190924_1_003;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_003_s4;8.303;3.415;2.43133235724744;;20190924_1_003;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_003_s5;8.715;3.705;2.35222672064777;;20190924_1_003;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_003_s6;8.414;3.429;2.45377661125693;;20190924_1_003;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_003_s7;8.679;3.555;2.44135021097046;;20190924_1_003;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_003_s8;8.62;3.538;2.43640474844545;;20190924_1_003;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_005_s1;9.137;1.913;4.77626764244642;5.5125186170675;20190924_1_005;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_005_s2;7.275;1.439;5.05559416261293;;20190924_1_005;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_005_s3;6.436;1.238;5.19870759289176;;20190924_1_005;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_005_s4;6.41;1.202;5.33277870216306;;20190924_1_005;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_005_s5;7.178;1.358;5.28571428571429;;20190924_1_005;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_005_s6;6.958;1.138;6.11423550087874;;20190924_1_005;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_005_s7;7.105;1.19;5.97058823529412;;20190924_1_005;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_005_s8;6.831;1.073;6.36626281453868;;20190924_1_005;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_006_s1;10.422;2.703;3.85571587125416;3.33803091734708;20190924_1_006;4
20190924_1;TKO;TKO_ctrl;ctrl;20190924_C1_t4_006_s2;10.172;2.817;3.61093361732339;;20190924_1_006;4
